Canias Kod;Varyans-TR;Varyans-EN;Ana Ürün-TR;Ana Ürün - EN;Moq;Paket Adedi;Status;Kategori;Ana Ürün Kodu;Ürün Kısa Kodu;Katalog ID;Katalog Sayfa Numarası;;;;;;;;;;
01.15.509S-5;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA MAVİ;Star Frame Stand Set (Special Serie) Blu;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203014;0;;;;;;;;;;
01.15.509S-6;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA SARI;Star Frame Stand Set (Special Serie) Yel;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203015;0;;;;;;;;;;
01.15.509S-7;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA YEŞ;Star Frame Stand Set (Special Serie) Gre;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203016;0;;;;;;;;;;
01.15.509S-8;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA TUR;Star Frame Stand Set (Special Serie) Ora;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203017;0;;;;;;;;;;
01.15.509S-9;STAR A5 AYAKLI ÇERÇEVE STD SET PLRA GRİ;Star Frame Stand Set (Special Serie) Gra;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203018;0;;;;;;;;;;
01.47.401;A4 P.MANDAL ÇERÇEVE SET SEF;Finger Clamp Frame Set Transparent;PARMAK MANDAL ÇERÇEVE SET;Finger Clamp Frame Set;0;10;A;01.2;04;01204;01204001;0;;;;;;;;;;
01.47.402;A4 P.MANDAL ÇERÇEVE SET SİY;Finger Clamp Frame Set Black;PARMAK MANDAL ÇERÇEVE SET;Finger Clamp Frame Set;0;10;A;01.2;04;01204;01204002;0;;;;;;;;;;
01.47.501;A5 P.MANDAL ÇERÇEVE SET SEF;Finger Clamp Frame Set Transparent;PARMAK MANDAL ÇERÇEVE SET;Finger Clamp Frame Set;0;10;A;01.2;04;01204;01204003;0;;;;;;;;;;
01.47.502;A5 P.MANDAL ÇERÇEVE SET SİY;Finger Clamp Frame Set Black;PARMAK MANDAL ÇERÇEVE SET;Finger Clamp Frame Set;0;10;A;01.2;04;01204;01204004;0;;;;;;;;;;
01.47.601;A6 P.MANDAL ÇERÇEVE SET SEF;Finger Clamp Frame Set Transparent;PARMAK MANDAL ÇERÇEVE SET;Finger Clamp Frame Set;0;10;A;01.2;04;01204;01204005;0;;;;;;;;;;
01.47.602;A6 P.MANDAL ÇERÇEVE SET SİY;Finger Clamp Frame Set Black;PARMAK MANDAL ÇERÇEVE SET;Finger Clamp Frame Set;0;10;A;01.2;04;01204;01204006;0;;;;;;;;;;
01.49.403R-1;VAKVAK A4 ÇERÇEVE SET BVRY SEF;VAKVAK A4 FRAME SET BVRY Transparent;VAKVAK ÇERÇEVE SET;Vakvak Frame Set;0;10;P;01.2;05;01205;01205001;0;;;;;;;;;;
01.49.503R-1;VAKVAK A5 ÇERÇEVE SET BVRY SEF;VAKVAK A5 FRAME SET BVRY TRANSPARENT;VAKVAK ÇERÇEVE SET;Vakvak Frame Set;0;10;P;01.2;05;01205;01205002;0;;;;;;;;;;
01.49.603R-1;VAKVAK A6 ÇERÇEVE SET BVRY SEF;VAKVAK A6 FRAME SET BVRY TRA;VAKVAK ÇERÇEVE SET;Vakvak Frame Set;0;10;P;01.2;05;01205;01205003;0;;;;;;;;;;
01.39.4031-25;SAFİR PERİSKOP A4 ÇERÇEVE SET ŞEF   ;SAPPHIRE TELESCOPIC A4 FRAME SET TRANS;SAFİR TELESKOBİK ÇERÇEVE SET;Sapphire Telescopic Frame Set;0;10;A;01.2;06;01206;01206001;0;;;;;;;;;;
